Database,,,,,,,,,,,,,,,,,,
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4,,,,,,,,,,,
GameDialogue,,,,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---,,,,,,,,,,,
Global User Script,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Actors,,,,,,,,,,,,,,,,,,
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,,,,,,,,,,
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,,,,,,,,,,
1,,[],,[],Player,[],,TRUE,,,,,,,,,,
2,,[],Assets/05_Images/GUIPack-Clean&Minimalist/Sources/Game Controller/Game Controller/Steam/White_PNG/A-Button-Green-White.png,[],NPC,[],,FALSE,,,,,,,,,,
Items,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,,,,
Locations,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,,,,
Variables,,,,,,,,,,,,,,,,,,
ID,Name,Initial Value,Description,InitialValueType,,,,,,,,,,,,,,
Number,Text,Text,Text,Text,,,,,,,,,,,,,,
1,Alert,,,Text,,,,,,,,,,,,,,
2,SelectionType,none,Record player decision,Text,,,,,,,,,,,,,,
3,ImageKey,,Show image according to the key.,Text,,,,,,,,,,,,,,
6,UnlockButtonKey,none,Function which triggers Toolbar,Text,,,,,,,,,,,,,,
7,playerDecision,none,Three button to add content (get),Text,,,,,,,,,,,,,,
8,isReplay,FALSE,If use replay function it will be true,Boolean,,,,,,,,,,,,,,
9,tag,,use to identify different path,Text,,,,,,,,,,,,,,
10,canReplay,FALSE,Can click Replay Current Scenario,Boolean,,,,,,,,,,,,,,
11,UnlockKey,(category ) / (list name) / (unlockProgress),Unlock GameManualWindow List,Text,,,,,,,,,,,,,,
12,TestingDialog,TRUE,For dialog system,Boolean,,,,,,,,,,,,,,
13,ReadChapter,0,Save Read Chapter,Number,,,,,,,,,,,,,,
14,Counter,0,,Number,,,,,,,,,,,,,,
15,Switch,,Control highlight panel spot,Text,,,,,,,,,,,,,,
16,LastConversationKey,,Will update by last dialog,Text,,,,,,,,,,,,,,
Conversations,,,,,,,,,,,,,,,,,,
