TooltipMessage/GameManualButton/Unlock,遊戲手冊
TooltipMessage/GameManualButton/Lock,尚未解鎖視窗：遊戲手冊
GameManualItem/list/git,git
GameManualItem/list/git init,git init
GameManualItem/list/git status,git status
GameManualItem/list/git add,git add
GameManualItem/list/git reset,git reset
GameManualItem/list/git commit,git commit
GameManualItem/list/git log,git log
GameManualItem/list/git checkout,git checkout
GameManualItem/list/git branch,git branch
GameManualItem/list/git merge,git merge
GameManualItem/list/git clone,git clone
GameManualItem/list/git remote,git remote
GameManualItem/list/git push,git push
GameManualItem/list/git pull,git pull
GameManualWindow/content/DefaultContent,"點擊左方列表
來觀看教學內容"
GameManualItem/content/common/commandTitle,指 令 類 型 介 紹
GameManualItem/content/common/commandDetailedTitle,指 令 細 節
GameManualItem/content/common/command/use, 用途：
GameManualItem/content/common/command/scenario, 使用情境：
GameManualItem/content/common/command/example, 使用範例：
GameManualItem/content/common/command/hint, 需要注意的地方：
GameManualItem/content/common/tipTitle,小提醒：
GameManualWindow/Title,遊 戲 手 冊
GameManualWindow/CategoryButton/Command,指 令
GameManualWindow/CategoryButton/RuleAndWindow,遊 戲 規 則 與 視 窗
GameManualWindow/CategoryButton/VersionControl,版 本 控 制
GameManualWindow/ListTitle/Command,Git 指 令 列 表
GameManualWindow/ListTitle/RuleAndWindow,遊 戲 規 則 與 視 窗 教 學 列 表
GameManualWindow/ListTitle/VersionControl,版 本 控 制 教 學 列 表
GameManualItem/content/git/1,"'git' 是 Git 指令中最基礎的類型之一。

在執行大部分 Git 指令時，
您需要將 'git' 作為第 1 個指令欄位，
然後在第 2 欄位加上其他指令類型（例如：init 、add）。

而 'git' 指令類型，只需要輸入 1 個欄位的指令即可執行。
您也可以在指令前方加入其他參數來執行不同操作。

通常情況下，'git' 指令可用於以下情境：
 1. 確認當前電腦使用的 Git 系統版本。
 2. 了解可用的 Git 系統指令，以及每個指令的用途。"
GameManualItem/content/git/commandDetail/1,git <color=#CF001C>-h 或 --help</color>
GameManualItem/content/git/commandDetail/1/use,"了解所有可用 Git 指令的簡要說明。
除了執行這個指令外，
您也可以從 Git 官方網站來獲得更詳細的指令使用方法。"
GameManualItem/content/git/commandDetail/1/scenario,"1. 需要回顧之前學習的內容。
2. 查找特定指令的使用方法時。"
GameManualItem/content/git/commandDetail/1/example,當使用者 A 在使用 Git 遇到問題時，可以執行以下指令來獲得幫助：
GameManualItem/content/git/commandDetail/1/exampleBox,git <color=#CF001C>--help</color>
GameManualItem/content/git/commandDetail/1/hint,"在本遊戲中，每個指令的詳細說明都包含在遊戲手冊中。
如果想要進一步了解特定指令，
請點擊遊戲手冊按鈕或執行這個指令來開啟手冊。"
GameManualItem/content/git/commandDetail/2,git <color=#CF001C>-v 或 --version</color>
GameManualItem/content/git/commandDetail/2/use,"確認當前電腦使用的 Git 系統版本，
同時確認是否已安裝系統。"
GameManualItem/content/git/commandDetail/2/scenario,"1. 在開始使用 Git 管理專案之前。
2. 需要確認電腦是否已安裝 Git 系統。"
GameManualItem/content/git/commandDetail/2/example,"當使用者 A 想要使用 Git 來管理專案時。
可以執行以下指令來確認 Git 是否已安裝："
GameManualItem/content/git/commandDetail/2/exampleBox,git <color=#CF001C>--version</color>
GameManualItem/content/git/commandDetail/2/hint,"無特別注意事項，只需遵守基本的 Git 指令輸入規則即可。
（詳情請查看 'Git 指令的基本介紹'）"
GameManualItem/content/git init/1,"'git init' 是 Git 指令中最基礎的類型之一。

當您想要開始使用 Git 來管理您的專案時，
'git init' 將是您需要執行的第一個指令。

執行成功後，將在您指定的檔案路徑下創建一個名為 '.git' 的隱藏資料夾。
這個資料夾是 Git 管理系統的核心，它儲存著專案的管理記錄。
如果缺少這個資料夾，大多數 Git 指令將無法運作。"
GameManualItem/content/git init/commandDetail/1,git init
GameManualItem/content/git init/commandDetail/1/use,在命令行所在的路徑下創建一個 '.git' 隱藏資料夾。
GameManualItem/content/git init/commandDetail/1/scenario,1. 想要開始使用 Git 管理專案時。
GameManualItem/content/git init/commandDetail/1/example,"當使用者 A 準備使用 Git 來管理專案時，
在選定要管理的專案路徑後，執行以下指令："
GameManualItem/content/git init/commandDetail/1/exampleBox,git init
GameManualItem/content/git init/commandDetail/1/hint,"1. 確保執行指令時的路徑正確：
當您執行 'git init' 時，
Git 將在命令行所在的路徑下創建 '.git' 資料夾。

請確保這個路徑與您要管理的專案相符，
以避免不必要的混淆和困擾。"
GameManualItem/content/git status/1,"'git status' 屬於與 '暫存區域' 相關的指令類型。

透過這個指令，
您可以查看目前 Git 管理系統中的 '暫存區域' 狀態。
以便了解哪些檔案已被追蹤，哪些檔案已被修改，
以及是否準備好進行提交。"
GameManualItem/content/git status/1/tip,"在實際使用 Git 時，指令的輸出內容會顯示在命令行視窗中。
本遊戲將輸出內容，整合到 '暫存區域' 視窗中。
以便更容易查看內容，視窗的設計和實際輸出相似。"
GameManualItem/content/git status/commandDetail/1,git status
GameManualItem/content/git status/commandDetail/1/use,開啟 '暫存區域' 視窗，顯示當前 '暫存區域' 的狀態。
GameManualItem/content/git status/commandDetail/1/scenario,"1. 需要確認當前 '暫存區域' 的狀態。
2. 將檔案推入或移出 '暫存區域' 後。
3. 創建新的 '提交' 前，確認追蹤的檔案和狀態。"
GameManualItem/content/git status/commandDetail/1/example,"當使用者 A 在將修改完成的檔案推入或移出 '暫存區域' 後，
執行以下指令來查看區域中檔案的狀態："
GameManualItem/content/git status/commandDetail/1/exampleBox,git status
GameManualItem/content/git status/commandDetail/1/hint,"1. 無法即時更新內容：
在執行與 '暫存區域' 互動的指令
（例如：git add、git reset 等）後。

雖然檔案的狀態已更改，但您無法立即看到視窗中的更新。
因此，在執行這些指令後，
請再次使用 'git status' 指令以查看最新的狀態。"
GameManualItem/content/git add/1,"'git add' 是與 '暫存區域' 有關的指令類型。
透過這個指令，將檔案內容從工作目錄加入到 '暫存區域'。

成功將檔案加入 '暫存區域' 後，這些檔案會被標記為 '已追蹤'。
它們將作為下一次的 '提交'（版本記錄）。"
GameManualItem/content/git add/commandDetail/1,git add <color=#CF001C>指定的檔案名稱</color>
GameManualItem/content/git add/commandDetail/1/use,將特定檔案加入到 '已追蹤' 中。
GameManualItem/content/git add/commandDetail/1/scenario,1. 希望將特定檔案的更改保存為記錄時。
GameManualItem/content/git add/commandDetail/1/example,"當使用者 A 已經完成對 '文章A.txt' 的修改後，
可以執行以下指令，將該檔案加入到 '暫存區域' 中："
GameManualItem/content/git add/commandDetail/1/exampleBox,git add <color=#CF001C>文章A.txt</color>
GameManualItem/content/git add/commandDetail/1/hint,"1. 無法即時更新內容：
執行指令後，不會立即看到即時的反饋。
請使用 'git status' 指令查看最新的 '暫存區域' 狀態。"
GameManualItem/content/git add/commandDetail/2,git add <color=#CF001C>資料夾名稱</color>
GameManualItem/content/git add/commandDetail/2/use,將指定資料夾中的所有檔案一次性加入到 '已追蹤' 中。
GameManualItem/content/git add/commandDetail/2/scenario,1. 想要將一個資料夾中的所有檔案一次性加入 '已追蹤' 時。
GameManualItem/content/git add/commandDetail/2/example,"當使用者 A 想要一次性將 '網站圖片庫' 資料夾中的
所有檔案加入到 '暫存區域' 時。
可以執行以下指令："
GameManualItem/content/git add/commandDetail/2/exampleBox,git add <color=#CF001C>網站圖片庫</color>
GameManualItem/content/git add/commandDetail/3,git add <color=#CF001C>.</color>
GameManualItem/content/git add/commandDetail/3/use,一次性將命令行所在路徑下的所有檔案加入到 '已追蹤' 中。
GameManualItem/content/git add/commandDetail/3/scenario,"1. 想要一次性將整個工作目錄下的所有檔案加入到 '已追蹤' 中。
2. 第一次建立 Git 管理系統時，用於初始化專案。"
GameManualItem/content/git add/commandDetail/3/example,"當使用者 A 需要初始化一個新的 Git 專案。
將整個工作目錄中的檔案加入 '暫存區域' 時。
可以執行以下指令："
GameManualItem/content/git add/commandDetail/3/exampleBox,git add <color=#CF001C>.</color>
GameManualItem/content/git reset/1,"'git reset' 是功能強大的指令類型。
它涵蓋了 '暫存區域'、'提交記錄' 這些領域。

在開發專案時，如果不想要將一些檔案新增到 '暫存區域' 時，
可以使用這個指令將檔案從 '已追蹤' 區域移回 '未追蹤' 區域。"
GameManualItem/content/git reset/commandDetail/1,git reset <color=#CF001C>指定的檔案名稱</color>
GameManualItem/content/git reset/1/tip,"在實際使用 Git 時，
'git reset' 除了可以做到上述功能外，還能夠刪除 '提交記錄' 裡的 '提交'。
但是，考慮到刪除 '提交' 後造成的不可挽回性以及操作的難度。
本遊戲將略過 '刪除提交記錄' 功能，以確保學習品質。"
GameManualItem/content/git reset/commandDetail/1/use,將指定的檔案從 '已追蹤' 區域移回 '未追蹤' 區域。
GameManualItem/content/git reset/commandDetail/1/scenario,1. 當你不想要將修改後的檔案放入 '暫存區域' 時。
GameManualItem/content/git reset/commandDetail/1/example,"當使用者 A 不小心將一個重要檔案推送到 '暫存區域' 時，
可以執行以下指令將其移回 '未追蹤' 區域："
GameManualItem/content/git reset/commandDetail/1/exampleBox,git reset <color=#CF001C>機密文件.txt</color>
GameManualItem/content/git reset/commandDetail/1/hint,"1. 無法即時更新內容：
執行指令後，不會立即看到即時的反饋。
請使用 'git status' 指令查看最新的 '暫存區域' 狀態。"
GameManualItem/content/git reset/commandDetail/2,git reset <color=#CF001C>資料夾名稱</color>
