TooltipMessage/GameManualButton/Unlock,"遊戲手冊"
TooltipMessage/GameManualButton/Lock,"尚未解鎖視窗：遊戲手冊"
GameManualItem/list/git,"git"
GameManualItem/list/git init,"git init"
GameManualItem/list/git status,"git status"
GameManualItem/list/git add,"git add"
GameManualItem/list/git reset,"git reset"
GameManualItem/list/git commit,"git commit"
GameManualItem/list/git log,"git log"
GameManualItem/list/git checkout,"git checkout"
GameManualItem/list/git branch,"git branch"
GameManualItem/list/git merge,"git merge"
GameManualItem/list/git clone,"git clone"
GameManualItem/list/git remote,"git remote"
GameManualItem/list/git push,"git push"
GameManualItem/list/git pull,"git pull"
GameManualWindow/content/DefaultContent,"點擊左方列表
來觀看教學內容"
GameManualItem/content/common/commandTitle,"指 令 類 型 介 紹"
GameManualItem/content/common/commandDetailedTitle,"指 令 細 節"
GameManualItem/content/common/command/use," 用途："
GameManualItem/content/common/command/scenario," 使用情境："
GameManualItem/content/common/command/example," 使用範例："
GameManualItem/content/common/command/hint," 需要注意的地方："
GameManualItem/content/git/1,"'git' 是 Git 指令中最基礎的類型之一。

在執行大部分 Git 指令時，
您需要將 'git' 作為第 1 個指令欄位，
然後在第 2 欄位加上其他指令類型（例如：init 、add）。

而 'git' 指令類型，只需要輸入 1 個欄位的指令即可執行。
您也可以在指令前方加入其他參數來執行不同操作。

通常情況下，'git' 指令可用於以下情境：
 1. 確認當前電腦使用的 Git 系統版本。
 2. 了解可用的 Git 系統指令，以及每個指令的用途。"
GameManualItem/content/git/commandDetail/1,"git <color=#CF001C>-h 或 --help</color>"
GameManualItem/content/git/commandDetail/1/use,"了解所有可用 Git 指令的簡要說明。
除了執行這個指令外，
您也可以從 Git 官方網站來獲得更詳細的指令使用方法。"
GameManualItem/content/git/commandDetail/1/scenario,"1. 需要回顧之前學習的內容。
2. 查找特定指令的使用方法時。"
GameManualItem/content/git/commandDetail/1/example,"當使用者 A 在使用 Git 遇到問題時，可以執行以下指令來獲得幫助："
GameManualItem/content/git/commandDetail/1/exampleBox,"git <color=#CF001C>--help</color>"
GameManualItem/content/git/commandDetail/1/hint,"在本遊戲中，每個指令的詳細說明都包含在遊戲手冊中。
如果想要進一步了解特定指令，
請點擊遊戲手冊按鈕或執行這個指令來開啟手冊。"
GameManualItem/content/git/commandDetail/2,"git <color=#CF001C>-v 或 --version</color>"
GameManualItem/content/git/commandDetail/2/use,"確認當前電腦使用的 Git 系統版本，
同時確認是否已安裝系統。"
GameManualItem/content/git/commandDetail/2/scenario,"1. 在開始使用 Git 管理專案之前。
2. 需要確認電腦是否已安裝 Git 系統。"
GameManualItem/content/git/commandDetail/2/example,"當使用者 A 想要使用 Git 來管理專案時。
可以執行以下指令來確認 Git 是否已安裝："
GameManualItem/content/git/commandDetail/2/exampleBox,"git <color=#CF001C>--version</color>"
GameManualItem/content/git/commandDetail/2/hint,"無特別注意事項，只需遵守基本的 Git 指令輸入規則即可。
（詳情請查看 'Git 指令的基本介紹'）"
GameManualWindow/Title,"遊 戲 手 冊"
GameManualWindow/CategoryButton/Command,"指 令"
GameManualWindow/CategoryButton/RuleAndWindow,"遊 戲 規 則 與 視 窗"
GameManualWindow/CategoryButton/VersionControl,"版 本 控 制"
GameManualWindow/ListTitle/Command,"Git 指 令 列 表"
GameManualWindow/ListTitle/RuleAndWindow,"遊 戲 規 則 與 視 窗 教 學 列 表"
GameManualWindow/ListTitle/VersionControl,"版 本 控 制 教 學 列 表"
