TooltipMessage/GameManualButton/Unlock,"Game Manual"
TooltipMessage/GameManualButton/Lock,"Lock Window: Game Manual"
GameManualItem/list/git,"git"
GameManualItem/list/git init,"git init"
GameManualItem/list/git status,"git status"
GameManualItem/list/git add,"git add"
GameManualItem/list/git reset,"git reset"
GameManualItem/list/git commit,"git commit"
GameManualItem/list/git log,"git log"
GameManualItem/list/git checkout,"git checkout"
GameManualItem/list/git branch,"git branch"
GameManualItem/list/git merge,"git merge"
GameManualItem/list/git clone,"git clone"
GameManualItem/list/git remote,"git remote"
GameManualItem/list/git push,"git push"
GameManualItem/list/git pull,"git pull"
GameManualItem/content/git/1,"git"
GameManualWindow/Title,"遊 戲 手 冊"
GameManualWindow/CategoryButton/Command,"Commands"
GameManualWindow/CategoryButton/RuleAndWindow,"Rule and Window"
GameManualWindow/CategoryButton/VersionControl,"Version Control"
GameManualWindow/ListTitle/Command,"Git 指 令 列 表"
GameManualWindow/ListTitle/RuleAndWindow,"遊 戲 規 則 與 視 窗 教 學 列 表"
GameManualWindow/ListTitle/VersionControl,"版 本 控 制 教 學 列 表"
