TooltipMessage/GlobalLeaderboardButton,"全球排行榜"
Window/TitleText,"全 球 排 行 榜"
Window/LeaderboardCategory/StageBestRecords,"通過關卡最佳成績"
Window/LeaderboardCategory/TotalGameScores,"遊戲總得分"
Window/LeaderboardCategory/GameCompletion,"遊戲完成度"
Content/StageBestRecord/LeaderboardEntry/Rank,"名次"
Content/StageBestRecord/LeaderboardEntry/UserName,"使用者名稱"
Content/StageBestRecord/LeaderboardEntry/StarsEarned,"關卡獲得星數"
Content/StageBestRecord/LeaderboardEntry/StageScore,"關卡得到分數"
Content/StageBestRecord/LeaderboardEntry/TotalStageTime,"完成關卡總時間"
Content/TotalScore/LeaderboardEntry/Rank,"名次"
Content/TotalScore/LeaderboardEntry/UserName,"使用者名稱"
Content/TotalScore/LeaderboardEntry/TotalGameScore,"遊戲總獲得分數"
Content/TotalScore/LeaderboardEntry/AchievePlayTime,"達成分數的總遊戲時長"
Content/GameCompletion/LeaderboardEntry/Rank,"名次"
Content/GameCompletion/LeaderboardEntry/UserName,"使用者名稱"
Content/GameCompletion/LeaderboardEntry/GameCompletion,"遊戲完成度"
Content/GameCompletion/LeaderboardEntry/AchievePlayTime,"達成完成度時的總遊戲時長"
ProcessPopup/OopsPage/Title,"Oops！找不到頁面"
ProcessPopup/OopsPage/Content,"網絡連接失敗，請重新再試"
ProcessPopup/Loading,"加載中"
