SelfLeaderboard/TitleText,"Personal Best Records"
SelfLeaderboard/ClearTimesText,"-  Clear times:"
StageIntroductionPanel/Title,"Stage Introduction"
StageIntroductionPanel/StageOverviewTitle,"Stage Overview"
StageIntroductionPanel/StageObjectivesTitle,"Stage Objectives"
ModeSelectionPanel/Title,"Mode Selection"
ModeSelectionPanel/TutorialModeButton,"Tutorial Mode"
ModeSelectionPanel/PracticeModeButton,"Practice Mode"
ModeSelectionPanel/BackToStageSelectionButton,"Back to Stage Selection"
ModeSelectionPanel/PlayThisStage,"Play This Stage"
TooltipMessage/TutorialModeDescription,""
TooltipMessage/PracticeModeDescription,""
Common/None,"None"
