StageCategoryButton/Basic/CategoryText,"Main Stage: Git Basics"
StageCategoryButton/Branch/CategoryText,"Main Stage: Branch Management"
StageCategoryButton/Remote/CategoryText,"Main Stage: Remote Management"
StageCategoryButton/Common/StageCompletionText,"Stage Completion: "
TooltipMessage/MainToolBar/PlayerGameRecordsButton,"Player Game Records"
TooltipMessage/MainToolBar/ReturnToTitleScreenButton,"Return to Title Screen"
TooltipMessage/MainToolBar/BackToStageCategoryButton,"Back"
StageSelection/Common/StageTitle,"Stage: "
StageSelection/Stage01 - Game Introduction/StageButtonPopup,"Game Introduction"
StageSelection/Stage02 - Version Control and Git/StageButtonPopup,"Introduction to Version Control and Git"
StageSelection/Stage03 - Create Local Repository/StageButtonPopup,"Creating Your First Local Repository"
StageSelection/Stage04 - Basic Staging Area/StageButtonPopup,"Basic Operations in Git Staging Area"
StageSelection/Stage05 - Advanced Staging Area/StageButtonPopup,"Advanced Operations in Git Staging Area"
StageSelection/Stage06 - Creating First Version/StageButtonPopup,"Creating Your First Git Project Version"
StageSelection/Stage07 - Switching Project Versions/StageButtonPopup,"Switching Project Versions"
StageSelection/Stage08 - Git Branching Basics/StageButtonPopup,"Git Branching Basics Tutorial"
StageSelection/Stage09 - Fast-Forward Merging/StageButtonPopup,"Fast-Forward Merging"
StageSelection/Stage10 - Auto Merging/StageButtonPopup,"Auto Merging"
StageSelection/Stage11 - Merge Conflicts/StageButtonPopup,"Resolving Merge Conflicts"
StageSelection/Stage12 - Create Remote Repository/StageButtonPopup,"Creating Your First Remote Repository"
StageSelection/Stage13 - Push to Remote Branches/StageButtonPopup,"Creating and Pushing Remote Branches"
StageSelection/Stage14 - Keep Branches in Sync/StageButtonPopup,"Keeping Branches in Sync"
StageSelection/Stage15 - Preparation for Merging/StageButtonPopup,"Preparation for Merging"
StageSelection/Stage16 - Creating a Pull Request/StageButtonPopup,"Creating a Pull Request"
StageSelection/Stage17 - Review and Merge Pull Requests/StageButtonPopup,"Reviewing and Merging Pull Requests"
