CommandLineWindow/NotFoundCommand,"找不到指令：
'{playerInputCommand}'"
CommandLineWindow/NotSupport,"本遊戲不支持指令：
'{playerInputCommand}'"
CommandLineWindow/LockedCommand,"尚未解鎖指令：
'{GitCommandType}'"
CommandLineWindow/CannotUsedCommandInStage,"本次關卡不能使用指令：
'{GitCommandType}'"
Git Commands/common/FollowQuest,"請先根據當前目標進行操作！"
Git Commands/git/Welcome,"歡迎使用 Git 系統！
請加入其他指令以執行特定操作"
Git Commands/git/Exceed,"'git' 相關指令：
在遊戲中最多只能填入 2 個指令欄位
請從遊戲手冊中了解能夠使用的指令"
Git Commands/git/Help,"點擊來開啟 '遊戲手冊' 視窗"
Git Commands/git/Version,"當前的 Git 版本為最新版本！"
Git Commands/git init/Exceed,"'git init' 相關指令：
在遊戲中最多只能填入 2 個指令欄位
請從遊戲手冊中了解能夠使用的指令"
Git Commands/git init/Success,"成功創建本地儲存庫！"
Git Commands/git init/Already Created,"當前路徑已創建本地儲存庫"
Git Commands/git init/Wrong Quest,"如果當前目標不是 '創建 Git 儲存庫'
不應該執行這個指令"
Git Commands/git init/Wrong Location,"請根據當前目標在正確的檔案路徑上創建 Git 儲存庫"
Git Commands/git status/Exceed,"'git status' 相關指令：
在遊戲中最多只能填入 2 個指令欄位
請從遊戲手冊中了解能夠使用的指令"
Git Commands/git status/Success,"點擊來開啟 '暫存區域' 視窗"
Git Commands/git add/Exceed,"'git add' 相關指令：
在遊戲中最多只能填入 3 個指令欄位
請從遊戲手冊中了解能夠使用的指令"
Git Commands/git add/CommandField3,"請在第 3 欄位中填入要移入暫存區域的目標！"
Git Commands/git add/NotFound,"找不到指定的檔案 '{fileName}'"
Git Commands/git add/Success(All),"已將當前路徑下的所有檔案移入暫存區域！"
Git Commands/git add/Success(Folder),"已將資料夾 '{folderName}' 中的所有檔案移入暫存區域！"
Git Commands/git add/Success(File),"已將檔案 '{fileName}' 移入暫存區域！"
Git Commands/git add/Staged(File),"檔案 '{fileName}' 已經位於暫存區域！"
Git Commands/git add/Upload(File),"檔案 '{fileName}' 沒有改動！
此檔案在當前提交中已經是最新版本！"
Git Commands/git reset/Exceed,"'git reset' 相關指令：
在遊戲中最多只能填入 3 個指令欄位
請從遊戲手冊中了解能夠使用的指令"
Git Commands/git reset/CommandField3,"請在第 3 欄位中填入要移出暫存區域的目標！"
Git Commands/git reset/NotFound,"找不到指定的檔案 '{fileName}'"
Git Commands/git reset/Success(All),"已將當前路徑下的所有檔案移出暫存區域！"
Git Commands/git reset/Success(Folder),"已將資料夾 '{folderName}' 中的所有檔案移出暫存區域！"
Git Commands/git reset/Success(File),"已將檔案 '{fileName}' 移出暫存區域！"
Git Commands/git reset/Staged(File),"檔案 '{fileName}' 已經不在暫存區域！"
Git Commands/git reset/Upload(File),"檔案 '{fileName}' 沒有改動！
此檔案在當前提交中已經是最新版本！"
Git Commands/git commit/Exceed,"'git commit' 相關指令：
在遊戲中最多只能填入 4 個指令欄位
請從遊戲手冊中了解能夠使用的指令"
Git Commands/git commit/CommandField2,"指令格式不正確，詳細指令格式請看遊戲手冊"
Git Commands/git commit/CommandField3(-m),"請在第 3 欄位輸入 -m 來使用 'git commit'"
Git Commands/git commit/CommandField3(CommitMessage),"請在第 4 欄位輸入提交訊息！"
Git Commands/git commit/Unstaged,"暫存區域中沒有正在追蹤的檔案！"
Git Commands/git commit/SearchFeature,"請使用搜尋功能填寫提交訊息！"
Git Commands/git commit/Success,"成功將暫存區域中的內容移動到提交記錄！"
Git Commands/git log/Exceed,"'git log' 相關指令：
在遊戲中最多只能填入 2 個指令欄位
請從遊戲手冊中了解能夠使用的指令"
Git Commands/git log/Success,"點擊來開啟 '提交記錄' 視窗"
