StageTitle,"切換專案版本"
Story Background/Content/Story,"故事7"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"開啟 '檔案管理' 視窗"
Stage Quest/3,"確認 '網頁樣式.css' 內容"
Stage Quest/4,"切換到第 2 個提交版本"
Stage Quest/5,"確認 '提交記錄' 視窗的狀態"
Stage Quest/6,"確認 '網頁樣式.css' 內容"
Stage Quest/7,"切換到第 3 個提交版本"
Stage Quest/8,"確認已經切換到 'master' 分支上"
CommitHistoryData/File data/ListContent/0,"網頁標題\n網頁內容\n網頁頁尾"
CommitHistoryData/File data/ListContent/1/v1,"橙色文字"
CommitHistoryData/File data/ListContent/1/v2,"藍色文字"
CommitHistoryData/File data/ListFileName/0,"我的網頁.html"
CommitHistoryData/File data/ListFileName/1,"網頁樣式.css"
CommitHistoryData/File data/ListLocation/0,"我的網頁.html"
CommitHistoryData/File data/ListLocation/1,"網頁樣式.css"
CommitHistoryData/CommitMessage/1,"新增網站首頁文件"
CommitHistoryData/CommitMessage/2,"新增網頁樣式：將文字設為橙色"
CommitHistoryData/CommitMessage/3,"修改網頁樣式：將文字設為藍色"
