StageTitle,"審核與合併 Pull Request"
Story Background/Content/Story,"您是一位學生，在 '專案管理' 課程的後半部分。
老師要求學生們分成幾個組別，在 Git 服務平台上開發一款應用程式。

您與組員們決定開發一款 '貪吃蛇' 遊戲，
團隊將運用版本控制的知識和技術來提升開發效率。

同學 A 負責開發遊戲的主程式，並在名為 'main-script' 的分支上進行工作。
現在，遊戲的主要功能已經完成，並且同學 A 已經為遊戲增加了多樣的元素。

為了確保創建 Pull Request 的過程順利進行，
同學 A 在本地電腦上完成了合併前的確認流程。
之後，同學 A 在 Git 服務平台上創建了一個 Pull Request。

作為這個 Pull Request 的審核人員，您的任務是與同學 A 進行討論，
確保所有更改都是合適的。
在確認無誤後，您將負責把 'main-script' 分支合併至遠端主分支。"
Stage Quest/1,"開啟 '瀏覽器' 視窗"
Stage Quest/2,"在 Pull Request 上新增修改建議"
Stage Quest/3,"批准 Pull Request"
Stage Quest/4,"合併 Pull Request"
Stage Quest/5,"同步遠端 'master' 分支的內容
並更新 '提交記錄' 視窗" 
NPCCommitData/NPC1,"同學 A"



CommitHistoryData/File data/ListContent/1,"# snake-game"
CommitHistoryData/File data/ListContent/2v1,"遊戲運行邏輯\n分數系統\n水果物件管理"
CommitHistoryData/File data/ListContent/2v2,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理"
CommitHistoryData/File data/ListContent/2v3,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理\n玩家衝刺系統\n精力條系統"
CommitHistoryData/File data/ListLocation/0,"snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/2,"snake-game\主程式.cpp"
CommitHistoryData/File data/ListLocation/3,"snake-game\.git"
CommitHistoryData/File data/ListFileName/0,"snake-game"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/File data/ListFileName/2,"主程式.cpp"
NPCCommitData/NPC1,"同學 A"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"基本貪吃蛇遊戲完成"
CommitHistoryData/CommitMessage/3,"炸彈功能設計完成"
CommitHistoryData/CommitMessage/4,"玩家允許衝刺，並追加精力條系統"


RepoQuestData/Repo Quest/PRTitle,"新增 README 內容: 貪吃蛇遊戲介紹和特色"
RepoQuestData/Repo Quest/PRDes,"這個 Pull Request 包含了我在 'update-readme' 分支上所做的變更，
它主要用於更新 README 檔案，我新增了貪吃蛇遊戲的基本介紹和遊戲特色。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/MainContent,"您好，我注意到 'README.md' 檔案中對於遊戲特色 '生成多個物件' 的地方可以做些改進。
為了讓讀者更好地理解遊戲的玩法和挑戰，
建議您增加生成物件相關的細節，例如生成時間、隨機功能等內容。
謝謝。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/FileName,"README.md"
BrowserWindow/PRDetailed/FileContent1,"遊戲運行邏輯"
BrowserWindow/PRDetailed/FileContent2,"分數系統"
BrowserWindow/PRDetailed/FileContent3,"水果物件管理"
BrowserWindow/PRDetailed/FileContent4,"炸彈物件管理"
BrowserWindow/PRDetailed/FileContent5,"玩家衝刺系統"
BrowserWindow/PRDetailed/FileContent6,"精力條系統"


BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage1,"請您為 '生成多個物件' 行數增加生成細節。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage2,"謝謝您的建議，我會檢查並進行對應的修改。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage3,"我已經為 '生成多個物件' 部分做出更詳細的描述。
如果還有其他需要改進的地方。
請隨時提出，謝謝。"
BrowserWindow/PRDetailed/Msg_10_Refresh_Approve,"已審核並確認 'README.md' 內容沒有問題。
批准本次合併請求。"



BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/MainContent,"您好，我注意到在 '建立網站原因' 內容裡出現了錯別字。
再請您修正一下。
謝謝。"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage1,"請您將 '城市' 改成 '程式'。"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage2,"謝謝您的建議，我會檢查並進行對應的修改。"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage3,"您好，我已經將錯別字問題解決。
如果還有其他需要改進的地方。
請隨時提出，謝謝。"
BrowserWindow/PRDetailed/Msg_3_ReviewChange(Approve)_Approve,"已審核並確認 'README.md' 內容沒有問題。
批准本次合併請求。"
