Opening/Hello,"您好！"
LoginButton/Not Login/LoginButtonText,"登入"
LoginButton/Not Login/SignUpButtonText,"註冊"
LoginButton/Login/HelloText,"您好，"
LoginButton/Login/LogOutButtonText,"登出"
StartGameButton/StartGameButtonText,"開始遊戲"
SelectLanguagePopup/SelectLanguageTitle,"選 擇 語 言"
SignUpPopup/SignUpTitle,"註 冊"
SignUpPopup/TextBoxTitile(UserName),"使用者名稱"
SignUpPopup/TextBoxTitile(Password),"密碼"
SignUpPopup/SignUpWarningText/Failed,"此帳號已被註冊"
LogInPopup/LogInTitle,"登 入"
LogInPopup/TextBoxTitile(UserName),"使用者名稱"
LogInPopup/TextBoxTitile(Password),"密碼"
LogInPopup/LogInWarningText/Failed(username not found),"找不到這個帳號"
LogInPopup/LogInWarningText/Failed(password incorrect),"密碼輸入錯誤"
