Opening/Hello,"Hello!!"
LoginButton/Not Login/LoginButtonText,"Login"
LoginButton/Not Login/SignUpButtonText,"Sign Up"
LoginButton/Login/HelloText,"Hello, "
LoginButton/Login/LogOutButtonText,"Log Out"
StartGameButton/StartGameButtonText,"Start Game"
SelectLanguagePopup/SelectLanguageTitle,"Select Language"
SignUpPopup/SignUpTitle,"Sign Up"
SignUpPopup/TextBoxTitile(UserName),"User Name"
SignUpPopup/TextBoxTitile(Password),"Password"
SignUpPopup/SignUpWarningText/Failed,"This account is already registered."
LogInPopup/LogInTitle,"Login"
LogInPopup/TextBoxTitile(UserName),"User Name"
LogInPopup/TextBoxTitile(Password),"Password"
LogInPopup/LogInWarningText/Failed(username not found),"This account doesn't exist."
LogInPopup/LogInWarningText/Failed(password incorrect),"Your password is incorrect."
